"BEZEICHNUNG","THIS_YEAR"
"Abschreibungen (M&A bereinigt)**",23200000
"Abschreibungen (M&A bedingt)",8400000
"Rechtsberatungs- und Abschlusskosten",7500000
"Beratungs- und beratungsnahe Kosten",12000000
"B<fc>rokosten",2000000
"Betriebsausstattung",5500000
"Reise, Vertrieb und Marketing",6100000
"Personalnahe Aufwendungen",5600000
"Versicherungen, Beitr<e4>ge und Abgaben",1500000
"Sonstiges",3500000
